pl_name,period,radius,depth,star_temp,star_radius,insolation,label_raw,source,label,log_period,log_insolation,radius_star_ratio,density_proxy,planet_temp_estimate
EPIC 201324549.01,2.5194039,7.65729,0.1935,6380.0,1.76,219.344,FALSE POSITIVE,K2,0.0,1.2582916286783437,5.395189961509509,4.350732954545454,4.135644791172651,11923.756983268526
EPIC 210754505.01,0.8706763,6.52133,0.1861,6121.0,1.47,1486.34,FALSE POSITIVE,K2,0.0,0.626300023238104,7.304744568609258,4.436278911564626,7.152068995623003,17784.337335761527
EPIC 211705502.01,2.5840753,7.01829,0.1757,6119.0,1.4,1881.65,FALSE POSITIVE,K2,0.0,1.276500504936619,7.540435637774565,5.013064285714286,3.7270155063988053,10071.09959423018
EPIC 220674823 b,0.5713127,1.676,0.0241,5578.0,0.99,4656.0,CONFIRMED,K2,1.0,0.4519113846607616,8.446126742982377,1.692929292929293,2.4342102981473466,16418.90425147246
EPIC 220674823 c,13.33989,2.84,0.0693,5578.0,0.99,70.0,CONFIRMED,K2,1.0,2.6630451642912862,4.2626798770413155,2.8686868686868685,0.5049133353791946,3397.8561213882354
EPIC 246851721 b,6.180235,11.780659,0.464,6202.0,1.586,642.0,CONFIRMED,K2,1.0,1.9713321123295384,6.466144724237619,7.427906052963429,3.4981056805359008,7025.315956223772
EPIC 248847494 b,3650.0,12.44199,0.18,4898.0,2.7,0.19,CONFIRMED,K2,1.0,8.202756381655638,0.17395330712343804,4.608144444444444,0.05248412223804687,297.8785511460614
G 9-40 b,5.7459945,2.06081,0.365,3413.0,0.32,3.9983,CONFIRMED,K2,1.0,1.908948921341172,1.6090978546209957,6.44003125,0.6423836555203347,1800.9998499210612
GJ 9827 b,1.2089802,1.62,0.0586,4269.0,0.613,315.0,CONFIRMED,K2,1.0,0.7925309610659849,5.755742213586912,2.642740619902121,1.4274762425217697,6797.2274106372515
GJ 9827 c,3.648083,1.269,0.0361,4269.0,0.613,72.0,CONFIRMED,K2,1.0,1.5364548765330304,4.290459441148391,2.0701468189233276,0.5354905547892268,3912.992710747196
GJ 9827 d,6.201467,2.07,0.0957,4269.0,0.613,35.6,CONFIRMED,K2,1.0,1.9742847552677973,3.6000482404073204,3.3768352365415986,0.6132544676305743,3001.194733791624
HAT-P-54 b,3.79985358153,13.26706229,2.5455085,4133.4,0.759375,88.6713,CONFIRMED,K2,1.0,1.5685854136006767,4.496150762461187,17.471028530041153,5.448331531650091,4131.77966355057
HAT-P-56 b,2.79082852671,16.75594879,1.00496939,6635.91,1.4707,1998.7812,CONFIRMED,K2,1.0,1.332584603833557,7.6007930535574655,11.393179295573539,8.453052936486538,10771.618384051382
HATS-11 b,3.61887686846,16.6459863,1.26582719,5871.0,1.46198,1027.296,CONFIRMED,K2,1.0,1.5301515734746156,6.935658342312185,11.38591930122163,7.061988323363701,8344.126797131217
HATS-36 b,4.17471430219,13.70940899,1.40266941,5859.0,1.08854,466.8809,CONFIRMED,K2,1.0,1.643784130321173,6.1482137763508025,12.594308881621254,5.287709160488453,6689.8644243971885
HATS-9 b,1.91552575756,13.74175585,0.73831867,5494.0,1.58042,2292.0839,CONFIRMED,K2,1.0,1.0700501663383555,7.737652871809105,8.69500249933562,8.909436373730577,11158.759503221101
HD 3167 b,0.959641,1.7,0.0294,5261.0,0.86,1625.0,CONFIRMED,K2,1.0,0.6727612932006802,7.3938782901077555,1.9767441860465116,1.7473358670116526,11136.484893189277
HD 3167 c,29.8454,3.01,0.0946,5261.0,0.86,16.6,CONFIRMED,K2,1.0,3.4289876306436544,2.8678989020441064,3.5,0.3128346809108474,1996.934534638938
HD 80653 b,0.71957120984,1.61084174,0.01596404,5910.0,1.25505,6635.8567,CONFIRMED,K2,1.0,0.5420749631411466,8.800393741832528,1.2834881000756941,2.006028144820095,17452.840015005197
HD 89345 b,11.81417261526,6.97249322,0.15048942,5609.0,1.78598,275.6427,CONFIRMED,K2,1.0,2.5505517939595626,5.622726781864217,3.904015285725484,1.3441649271481737,4876.4871235089395
HIP 116454 b,9.100412,2.59387,0.1085,5013.7,0.77,28.6373,CONFIRMED,K2,1.0,2.3125762150944476,3.3890337031612474,3.3686623376623372,0.5950783771384425,3261.0554348885944
K2-113 b,5.8176452,11.6459,0.9178,5633.4,1.22,277.39,CONFIRMED,K2,1.0,1.9195141336406176,5.629023008274912,9.545819672131147,3.6003238630247423,5768.486641242272
K2-131 b,0.36930571984,2.13418186,0.07556536,5129.0,0.755722,3842.3392,CONFIRMED,K2,1.0,0.31430383754735564,8.254096851046562,2.8240303444917574,4.146109185331091,16406.11369154453
K2-132 b,9.1720535,9.02881,0.058,4933.0,3.79,293.374,CONFIRMED,K2,1.0,2.319644107082023,5.684851067737312,2.3822717678100265,2.0605640936115375,7090.590965475012
K2-133 d,11.0248821,2.46843,0.1943,3798.0,0.46,48.3251,CONFIRMED,K2,1.0,2.486978011369955,3.898433079276112,5.3661521739130436,0.49831601716848056,1734.730049381279
K2-133 e,26.5841,1.73,0.0987,3655.0,0.455,1.8,CONFIRMED,K2,1.0,3.3172395197647346,1.0296194171811581,3.802197802197802,0.1942218687656113,1069.220066685194
K2-136 c,17.3070631,3.7275,0.1909,4230.6,0.77,31.2616,CONFIRMED,K2,1.0,2.907286947131933,3.4738776684913497,4.840909090909091,0.5571028763363984,1995.3571486336832
K2-138 e,8.2616616,3.30997,0.1343,5281.0,0.86,66.2634,CONFIRMED,K2,1.0,2.22588347100586,4.208616255138584,3.8488023255813952,0.8099268367059422,3809.927348453836
K2-140 b,6.569188,13.56286665,1.557,5585.0,1.06,204.0,CONFIRMED,K2,1.0,2.0240857961742034,5.3230099791384085,12.795157216981131,3.866728664305879,5016.5514044898455
K2-141 b,0.2803246,1.64829,0.0507,4477.0,0.72,3967.92,CONFIRMED,K2,1.0,0.24711363953206592,8.286249296369293,2.2892916666666667,3.8482163731361836,16043.81846088487
K2-155 c,13.85327454047,2.2098839,0.10681331,3893.47,0.655766,9.7561,CONFIRMED,K2,1.0,2.6982203487162,2.375473035499882,3.3699275351268594,0.38311971167370695,1894.1748337616211
K2-165 d,14.06660140645,3.19087767,0.1450825,5141.67,0.837606,37.0819,CONFIRMED,K2,1.0,2.7124804667303852,3.6397391036364355,3.809521027786334,0.5475839377641217,2805.527311282856
K2-167 b,9.9783319274,2.05153324,0.01792248,6073.5,1.47131,300.9647,CONFIRMED,K2,1.0,2.395923505360169,5.710310123125785,1.394358252169835,0.4426290637102274,5214.914087346557
K2-174 b,19.56204579364,3.28708684,0.13978149,4246.8,0.758892,10.9555,CONFIRMED,K2,1.0,3.0234469392185233,2.4811914235405195,4.331429030744823,0.4527602907785861,1870.3791930957925
K2-178 b,8.75470797754,3.54381082,0.15276749,5888.0,0.889347,117.826,CONFIRMED,K2,1.0,2.2777500379570808,4.77766023820209,3.98473354045159,0.8342753661546739,4196.310285859737
K2-18 b,32.93737167947,2.53362939,0.31921429,3464.0,0.444516,1.0873,CONFIRMED,K2,1.0,3.524516816603249,0.7358713647697236,5.699748467996653,0.24657580584182043,899.833409921898
K2-19 b,7.9177855286,6.59307857,0.61503984,5322.0,0.840476,88.7066,CONFIRMED,K2,1.0,2.1880476566449594,4.496544344953296,7.844457866732661,1.6596598793352273,3877.2219596401437
K2-212 b,9.79565352601,2.82375991,0.16337954,4147.0,0.706632,21.964,CONFIRMED,K2,1.0,2.3791436018295467,3.13392777230539,3.9960826993399676,0.6167921309270129,2490.5713047449717
K2-216 b,2.1747824,1.79105,0.056,4542.0,0.71,174.942,CONFIRMED,K2,1.0,1.1552390945629238,5.17015439527157,2.522605633802817,1.0669985688282488,5803.011103698335
K2-222 b,15.3886606556,2.53826377,0.04071051,6101.0,1.0623,87.1069,CONFIRMED,K2,1.0,2.796589672247703,4.478550849966082,2.389403906617716,0.41026978673996045,3584.340062853176
K2-232 b,11.1684037,12.77,0.966,5981.0,1.22,312.155,CONFIRMED,K2,1.0,2.498842731592703,5.746698275633032,10.467213114754099,2.555819394316564,4420.212699574195
K2-237 b,2.18052771326,16.80885305,1.63401353,6599.0,1.27146,1770.4651,CONFIRMED,K2,1.0,1.157047130590349,7.479562223292947,13.220119429632076,9.99609419635321,11267.658505207857
K2-25 b,3.48456408,3.44,1.155,3207.0,0.2932,9.91,CONFIRMED,K2,1.0,1.50064129569225,2.3896797998449792,11.732605729877216,1.4966702943003345,2080.13593839051
K2-253 b,4.00357732994,12.96278785,1.42738513,5318.0,1.08492,365.8185,CONFIRMED,K2,1.0,1.6101531225983252,5.904867175315464,11.948150877484053,5.141220916849443,6190.248478736569
K2-260 b,2.6266983,18.7969,1.065,6475.0,1.77,2520.03,CONFIRMED,K2,1.0,1.2883226751481174,7.8324228271567815,10.619717514124295,9.873688815276413,11885.19500052015
K2-261 b,11.633478,9.50521563,0.2804,5503.0,1.641,180.0,CONFIRMED,K2,1.0,2.5363502745420416,5.198497031265826,5.792331279707495,1.8513516815433209,4621.511297868743
K2-266 b,0.658524,3.3,0.18,4285.0,0.703,879.5,CONFIRMED,K2,1.0,0.505928050207714,6.7804899279362605,4.694167852062589,4.3597963307316485,9899.8288654991
K2-266 c,7.814,0.705,0.0085,4285.0,0.703,32.4,CONFIRMED,K2,1.0,2.1763413664197953,3.5085558999826545,1.0028449502133712,0.17903592279716343,2873.9339812644434
K2-266 d,14.697,2.93,0.1465,4285.0,0.703,13.95,CONFIRMED,K2,1.0,2.75346961129307,2.7047112998366956,4.1678520625889055,0.4883319700770561,2095.555386129249
K2-266 e,19.482,2.73,0.127,4285.0,0.703,9.581,CONFIRMED,K2,1.0,3.019546451653246,2.3590599399220245,3.883357041251778,0.3770569536068362,1820.1061680971984
K2-27 b,6.7713411,5.07965,0.293,5231.0,0.89,144.17,CONFIRMED,K2,1.0,2.0504427492285338,4.9779054694733365,5.70747191011236,1.4192230684963325,4240.600690755008
K2-277 b,6.32668003682,2.29015537,0.05208002,5673.0,0.975383,195.7304,CONFIRMED,K2,1.0,1.991522485167393,5.281834263529639,2.3479549776856885,0.6694955574818179,4980.78093675788
K2-28 b,2.2604455,2.56,0.664,3214.0,0.288,21.7,CONFIRMED,K2,1.0,1.1818638424836931,3.122364924487357,8.88888888888889,1.4863141246004457,2565.252374071417
